procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 4975484 900980 5848440    0    0     0    66  704 1559  1  0 99  0  0
 0  0      0 4977260 900980 5847416    0    0     0   108  698 1514  1  0 99  0  0
 0  0      0 5000936 900980 5847416    0    0     0    31 1113 1704  1  0 99  0  0
 0  0      0 5007064 900984 5847364    0    0     0    87  728 1645  1  0 99  0  0
 0  0      0 5015368 900992 5847416    0    0     0    55  757 1634  1  0 99  0  0
 0  0      0 5019152 900996 5847388    0    0     0    94  736 1771  1  0 99  0  0
 0  0      0 5018432 900996 5847756    0    0     0    73  738 1802  1  0 99  0  0
 0  0      0 5017276 901000 5848032    0    0     0    43  667 1602  1  0 99  0  0
 2  0      0 5005780 901584 5847328    0    0     0   900  981 2944  1  0 98  0  0
 0  0      0 5000300 901592 5843604    0    0     0    38 2144 4821  3  1 96  0  0
 0  0      0 5013348 901600 5797556    0    0     0   738 1506 4463  1  1 97  0  0
 0  0      0 5030448 901600 5807916    0    0     0   354 1432 2945  1  3 96  0  0
 0  0      0 5022492 901612 5809276    0    0     0   738 1606 4033  2  1 98  0  0
 0  0      0 5024080 901612 5808344    0    0     0    11  746 1633  1  0 99  0  0
 0  0      0 4955032 901704 5816200    0    0     0  3662 2626 6570  4  1 95  0  0
 0  0      0 4936236 901708 5820104    0    0     0   138 1548 4855  3  1 97  0  0
 0  0      0 4938132 901716 5825172    0    0     0   369 1480 3730  2  1 97  0  0
 0  0      0 4943224 901716 5826676    0    0     0    54 1492 5378  3  1 97  0  0
 0  0      0 4946628 901720 5827120    0    0     0   449 1138 3977  1  1 98  0  0
 0  1      0 4942236 901884 5824208    0    0     0   633 1710 3669  2  1 98  0  0
 0  0      0 4893316 902908 5843524    0    0     0  6716 7295 10698  6  1 92  1  0
 1  0      0 4523276 902960 5844464    0    0     0  3231 11897 16666 17  3 79  0  0
 2  0      0 3187416 902980 5865172    0    0     0   231 13293 42901 24  4 72  0  0
 1  0      0 3635816 903008 5882364    0    0     0   382 23396 72021 20  5 75  0  0
 1  0      0 3772392 903012 5859300    0    0     0    66 14149 40627 10  3 86  0  0
 1  0      0 3907544 903076 5847660    0    0     0   755 10087 39299  9  3 87  0  0
 0  0      0 4836400 903172 5848644    0    0     0  1566 4130 33959  7  3 90  0  0
 0  0      0 4840532 903188 5848756    0    0     0    33  821 1935  1  0 99  0  0
 0  0      0 4922872 903188 5853156    0    0     0     0 3002 4525  2  1 97  0  0
 0  0      0 4966344 903204 5840768    0    0     0   214 2043 3181  2  1 98  0  0
 0  0      0 4963448 903204 5840356    0    0     0    90  768 1779  1  0 99  0  0
 0  0      0 4948428 903208 5849088    0    0     0   126 1258 2662  1  1 98  0  0
 0  0      0 4956812 903472 5849464    0    0     0  1009 1092 3196  1  0 98  1  0
 0  0      0 4975924 903476 5834016    0    0     0     6 2618 6908  5  2 93  0  0
 0  0      0 4970496 903476 5847296    0    0     0   142 1021 2568  2  0 98  0  0
 0  0      0 4977120 903484 5836284    0    0     0   166 3294 5128  3  1 96  0  0
 0  0      0 4979288 903492 5846048    0    0     0   118 2735 4991  3  1 96  0  0
 0  0      0 4974368 903500 5835716    0    0     0   101 2474 4659  3  1 97  0  0
 0  0      0 4979100 903504 5828660    0    0     0    81 2932 3779  1  1 98  0  0
 0  0      0 4983188 903520 5829372    0    0     0   170 1515 3077  1  1 98  0  0
 0  0      0 4986284 903524 5825196    0    0     0    64  838 1926  1  0 99  0  0
 0  0      0 4978956 903524 5825188    0    0     0   114  988 2202  1  0 98  0  0
 0  0      0 4980392 903524 5826676    0    0     0   106 1625 3114  2  1 98  0  0
 1  0      0 4795452 903548 5992224    0    0     0   182 4194 8491  5  2 93  0  0
 5  0      0 4496880 903864 6020284    0    0     0  1922 8441 23806 12  3 85  0  0
 1  0      0 4438216 904056 5976648    0    0     0 15973 6004 16841  9  2 88  0  0
 1  0      0 4536008 904248 5933292    0    0     0 14254 4169 9719  6  1 93  0  0
 1  0      0 4527548 904328 5924192    0    0     0  4168 2694 5441  3  1 96  0  0
 0  0      0 4476068 904336 5972948    0    0     0    88 3437 5478  3  1 96  0  0
 0  0      0 4524472 904368 5925700    0    0     0    38 3210 3292  1  1 98  0  0
 1  0      0 4630216 904384 5930872    0    0     0   554 6463 5893  4  1 94  0  0
 0  0      0 4629672 904388 5935164    0    0     0   652 3858 5244  3  1 96  0  0
 0  0      0 4664536 904388 5923936    0    0     0    58 3096 4879  3  1 96  0  0
 2  0      0 4600332 904408 5999220    0    0     0   248 3729 4839  3  1 96  0  0
 0  0      0 4661156 904412 5937892    0    0     0    73 3178 3183  1  1 98  0  0
 1  0      0 4693284 904420 5909768    0    0     0   234  794 1734  1  0 99  0  0
 1  0      0 4642064 904764 5924800    0    0     0  1868 2718 5924  4  1 94  1  0
 1  0      0 4618196 904776 5934220    0    0     0    42 2309 5718  4  1 95  0  0
 0  0      0 4652380 904776 5916612    0    0     0    70 1152 2712  2  0 98  0  0
 0  0      0 4683408 904776 5900632    0    0     0   830  739 1785  1  0 99  0  0
 0  0      0 4710828 904776 5894300    0    0     0    25  843 1880  1  0 99  0  0
 0  0      0 4711624 904780 5893932    0    0     0    21  683 1444  1  0 99  0  0
 0  0      0 4728616 904788 5893944    0    0     0    70  740 1589  1  0 99  0  0
 0  0      0 4744332 904796 5893820    0    0     0   542  722 1601  1  0 99  0  0
 0  0      0 4743848 904812 5893812    0    0     0   122  725 1755  1  0 99  0  0
 0  0      0 4740612 904812 5894104    0    0     0    15  690 1616  1  0 99  0  0
 0  0      0 4741180 904812 5893860    0    0     0   103  703 1636  1  0 99  0  0
 0  0      0 4730832 904816 5894644    0    0     0   210  729 1651  1  0 99  0  0
 0  0      0 4732772 905084 5894364    0    0     0   968 1012 2936  1  0 98  0  0
